PERIOD_DATE,ORIGIN_ID,ORIGIN_NAME,ORIGIN_TYPE,DESTINATION_ID,DESTINATION_NAME,GRADE_ID,GRADE_NAME,QUANTITY_MBBL
2026-03-01,CTY_AO,Angola,CTY,US,United States,MED,Medium,190.0000
2026-03-01,CTY_AR,Argentina,CTY,US,United States,HSW,Heavy Sweet,301.0000
2026-03-01,CTY_AR,Argentina,CTY,US,United States,LSW,Light Sweet,4212.0000
2026-03-01,CTY_BR,Brazil,CTY,US,United States,HSO,Heavy Sour,487.0000
2026-03-01,CTY_BR,Brazil,CTY,US,United States,HSW,Heavy Sweet,431.0000
2026-03-01,CTY_BR,Brazil,CTY,US,United States,MED,Medium,2259.0000
2026-03-01,CTY_CA,Canada,CTY,US,United States,HSO,Heavy Sour,99616.0000
2026-03-01,CTY_CA,Canada,CTY,US,United States,HSW,Heavy Sweet,723.0000
2026-03-01,CTY_CA,Canada,CTY,US,United States,LSO,Light Sour,2159.0000
2026-03-01,CTY_CA,Canada,CTY,US,United States,LSW,Light Sweet,3045.0000
2026-03-01,CTY_CA,Canada,CTY,US,United States,MED,Medium,19677.0000
2026-03-01,CTY_CG,Congo-Kinshasa,CTY,US,United States,MED,Medium,452.0000
2026-03-01,CTY_CO,Colombia,CTY,US,United States,HSO,Heavy Sour,6154.0000
2026-03-01,CTY_EC,Ecuador,CTY,US,United States,HSO,Heavy Sour,3297.0000
2026-03-01,CTY_GB,Gabon,CTY,US,United States,LSW,Light Sweet,389.0000
2026-03-01,CTY_GH,Ghana,CTY,US,United States,LSO,Light Sour,432.0000
2026-03-01,CTY_GH,Ghana,CTY,US,United States,LSW,Light Sweet,1551.0000
2026-03-01,CTY_GH,Ghana,CTY,US,United States,MED,Medium,301.0000
2026-03-01,CTY_GY,Guyana,CTY,US,United States,LSO,Light Sour,1728.0000
2026-03-01,CTY_GY,Guyana,CTY,US,United States,LSW,Light Sweet,1110.0000
2026-03-01,CTY_GY,Guyana,CTY,US,United States,MED,Medium,4568.0000
