PERIOD_DATE,DUOAREA,ORIGIN_PADD,DESTINATION_PADD,AREA_NAME,PROCESS_CODE,PROCESS_NAME,MOVEMENT_MBBL
2025-10-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",1150.0000
2025-06-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",464.0000
2024-12-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",984.0000
2024-07-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",903.0000
2023-12-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",1087.0000
2025-05-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",830.0000
2023-11-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",1077.0000
2024-06-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",1282.0000
2024-02-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",749.0000
2025-02-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",742.0000
2025-01-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",1087.0000
2024-04-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",994.0000
2024-05-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",2048.0000
2024-10-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",1100.0000
2025-12-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",1262.0000
2024-03-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",1274.0000
2025-11-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",1185.0000
2026-03-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",1076.0000
2025-07-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",1255.0000
2025-04-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",681.0000
2024-01-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",1030.0000
2023-09-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",961.0000
2025-03-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",1284.0000
2025-08-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",1264.0000
2025-09-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",960.0000
1986-01-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",48.0000
1986-02-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",62.0000
1986-03-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",181.0000
1986-04-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",175.0000
1986-05-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",246.0000
1986-06-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",153.0000
1986-07-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",149.0000
1986-08-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",138.0000
1986-09-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",175.0000
1986-10-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",158.0000
1986-11-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",177.0000
1986-12-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",98.0000
1987-01-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",81.0000
1987-02-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",159.0000
1987-03-01,R10-R20,R10,R20,PADD 2,TNR,"Receipts by Pipeline, Tanker, Barge and Rail",179.0000
