PERIOD_DATE,DUOAREA,AREA_NAME,STOCKS_MBBL
2025-06-01,R10,PADD 1,2050.0000
2025-10-01,R10,PADD 1,1375.0000
2024-12-01,R10,PADD 1,1522.0000
2023-12-01,R10,PADD 1,1400.0000
2024-07-01,R10,PADD 1,1372.0000
2025-05-01,R10,PADD 1,1489.0000
2025-02-01,R10,PADD 1,1469.0000
2024-06-01,R10,PADD 1,1300.0000
2024-02-01,R10,PADD 1,1462.0000
2023-11-01,R10,PADD 1,2183.0000
2025-01-01,R10,PADD 1,1489.0000
2024-04-01,R10,PADD 1,1815.0000
2024-10-01,R10,PADD 1,1465.0000
2024-05-01,R10,PADD 1,1656.0000
2025-12-01,R10,PADD 1,1068.0000
2025-11-01,R10,PADD 1,1267.0000
2026-03-01,R10,PADD 1,1316.0000
2024-03-01,R10,PADD 1,1429.0000
2024-11-01,R10,PADD 1,1775.0000
2024-01-01,R10,PADD 1,1614.0000
2025-03-01,R10,PADD 1,1610.0000
2025-07-01,R10,PADD 1,1531.0000
2025-04-01,R10,PADD 1,1403.0000
2023-09-01,R10,PADD 1,1407.0000
2025-08-01,R10,PADD 1,1445.0000
2025-09-01,R10,PADD 1,1233.0000
1981-01-01,R10,PADD 1,2615.0000
1981-02-01,R10,PADD 1,3684.0000
1981-03-01,R10,PADD 1,2570.0000
1981-04-01,R10,PADD 1,2922.0000
1981-05-01,R10,PADD 1,2955.0000
1981-06-01,R10,PADD 1,2771.0000
1981-07-01,R10,PADD 1,3183.0000
1981-08-01,R10,PADD 1,4385.0000
1981-09-01,R10,PADD 1,2590.0000
1981-10-01,R10,PADD 1,2521.0000
1981-11-01,R10,PADD 1,3160.0000
1981-12-01,R10,PADD 1,3072.0000
1982-01-01,R10,PADD 1,2464.0000
1982-02-01,R10,PADD 1,2296.0000
1982-03-01,R10,PADD 1,2611.0000
1982-04-01,R10,PADD 1,2384.0000
1982-05-01,R10,PADD 1,1886.0000
1982-06-01,R10,PADD 1,2413.0000
1982-07-01,R10,PADD 1,2485.0000
1982-08-01,R10,PADD 1,2455.0000
1982-09-01,R10,PADD 1,2553.0000
1982-10-01,R10,PADD 1,2403.0000
1982-11-01,R10,PADD 1,2410.0000
1982-12-01,R10,PADD 1,2265.0000
1983-01-01,R10,PADD 1,1907.0000
1983-02-01,R10,PADD 1,1671.0000
1983-03-01,R10,PADD 1,1744.0000
1983-04-01,R10,PADD 1,1385.0000
1983-05-01,R10,PADD 1,979.0000
1983-06-01,R10,PADD 1,1069.0000
1983-07-01,R10,PADD 1,1297.0000
1983-08-01,R10,PADD 1,927.0000
1983-09-01,R10,PADD 1,1011.0000
1983-10-01,R10,PADD 1,1313.0000
1983-11-01,R10,PADD 1,1245.0000
1983-12-01,R10,PADD 1,1224.0000
1984-01-01,R10,PADD 1,916.0000
1984-02-01,R10,PADD 1,1276.0000
1984-03-01,R10,PADD 1,1392.0000
1984-04-01,R10,PADD 1,1650.0000
1984-05-01,R10,PADD 1,1671.0000
1984-06-01,R10,PADD 1,1405.0000
1984-07-01,R10,PADD 1,1443.0000
1984-08-01,R10,PADD 1,1459.0000
1984-09-01,R10,PADD 1,1446.0000
1984-10-01,R10,PADD 1,1602.0000
1984-11-01,R10,PADD 1,1439.0000
1984-12-01,R10,PADD 1,1726.0000
1985-01-01,R10,PADD 1,1309.0000
1985-02-01,R10,PADD 1,1440.0000
1985-03-01,R10,PADD 1,1648.0000
1985-04-01,R10,PADD 1,1424.0000
1985-05-01,R10,PADD 1,1889.0000
1985-06-01,R10,PADD 1,1880.0000
1985-07-01,R10,PADD 1,1401.0000
1985-08-01,R10,PADD 1,1367.0000
1985-09-01,R10,PADD 1,1325.0000
1985-10-01,R10,PADD 1,1248.0000
1985-11-01,R10,PADD 1,1541.0000
1985-12-01,R10,PADD 1,1384.0000
1986-01-01,R10,PADD 1,1226.0000
1986-02-01,R10,PADD 1,1517.0000
1986-03-01,R10,PADD 1,1325.0000
1986-04-01,R10,PADD 1,1450.0000
1986-05-01,R10,PADD 1,1613.0000
1986-06-01,R10,PADD 1,1291.0000
1986-07-01,R10,PADD 1,1420.0000
1986-08-01,R10,PADD 1,1317.0000
1986-09-01,R10,PADD 1,1156.0000
1986-10-01,R10,PADD 1,1471.0000
1986-11-01,R10,PADD 1,1509.0000
1986-12-01,R10,PADD 1,1151.0000
1987-01-01,R10,PADD 1,1299.0000
1987-02-01,R10,PADD 1,1387.0000
1987-03-01,R10,PADD 1,1316.0000
1987-04-01,R10,PADD 1,1309.0000
1987-05-01,R10,PADD 1,1510.0000
1987-06-01,R10,PADD 1,1336.0000
1987-07-01,R10,PADD 1,1084.0000
1987-08-01,R10,PADD 1,1154.0000
1987-09-01,R10,PADD 1,1290.0000
1987-10-01,R10,PADD 1,1275.0000
1987-11-01,R10,PADD 1,1196.0000
1987-12-01,R10,PADD 1,1197.0000
1988-01-01,R10,PADD 1,1199.0000
1988-02-01,R10,PADD 1,1391.0000
1988-03-01,R10,PADD 1,1365.0000
1988-04-01,R10,PADD 1,1401.0000
1988-05-01,R10,PADD 1,1333.0000
1988-06-01,R10,PADD 1,1148.0000
1988-07-01,R10,PADD 1,1255.0000
1988-08-01,R10,PADD 1,1351.0000
1988-09-01,R10,PADD 1,1462.0000
1988-10-01,R10,PADD 1,1253.0000
1988-11-01,R10,PADD 1,1221.0000
1988-12-01,R10,PADD 1,1331.0000
1989-01-01,R10,PADD 1,1170.0000
1989-02-01,R10,PADD 1,1331.0000
1989-03-01,R10,PADD 1,1227.0000
1989-04-01,R10,PADD 1,1116.0000
1989-05-01,R10,PADD 1,1379.0000
1989-06-01,R10,PADD 1,1407.0000
1989-07-01,R10,PADD 1,1184.0000
1989-08-01,R10,PADD 1,1352.0000
1989-09-01,R10,PADD 1,1359.0000
1989-10-01,R10,PADD 1,1344.0000
1989-11-01,R10,PADD 1,1356.0000
1989-12-01,R10,PADD 1,1176.0000
1990-01-01,R10,PADD 1,1035.0000
1990-02-01,R10,PADD 1,1191.0000
1990-03-01,R10,PADD 1,1647.0000
1990-04-01,R10,PADD 1,1441.0000
1990-05-01,R10,PADD 1,1577.0000
1990-06-01,R10,PADD 1,1404.0000
1990-07-01,R10,PADD 1,1233.0000
1990-08-01,R10,PADD 1,1037.0000
1990-09-01,R10,PADD 1,1290.0000
1990-10-01,R10,PADD 1,1244.0000
1990-11-01,R10,PADD 1,1255.0000
1990-12-01,R10,PADD 1,1251.0000
1991-01-01,R10,PADD 1,1306.0000
1991-02-01,R10,PADD 1,1417.0000
1991-03-01,R10,PADD 1,1206.0000
1991-04-01,R10,PADD 1,1304.0000
1991-05-01,R10,PADD 1,1347.0000
1991-06-01,R10,PADD 1,1252.0000
1991-07-01,R10,PADD 1,1000.0000
1991-08-01,R10,PADD 1,1091.0000
1991-09-01,R10,PADD 1,1315.0000
1991-10-01,R10,PADD 1,1249.0000
1991-11-01,R10,PADD 1,1324.0000
1991-12-01,R10,PADD 1,1027.0000
1992-01-01,R10,PADD 1,1118.0000
1992-02-01,R10,PADD 1,1022.0000
1992-03-01,R10,PADD 1,1048.0000
1992-04-01,R10,PADD 1,1286.0000
1992-05-01,R10,PADD 1,1427.0000
1992-06-01,R10,PADD 1,995.0000
1992-07-01,R10,PADD 1,1172.0000
1992-08-01,R10,PADD 1,1079.0000
1992-09-01,R10,PADD 1,1201.0000
1992-10-01,R10,PADD 1,1281.0000
1992-11-01,R10,PADD 1,1197.0000
1992-12-01,R10,PADD 1,1285.0000
1993-01-01,R10,PADD 1,1178.0000
1993-02-01,R10,PADD 1,1030.0000
1993-03-01,R10,PADD 1,1222.0000
1993-04-01,R10,PADD 1,1066.0000
1993-05-01,R10,PADD 1,999.0000
1993-06-01,R10,PADD 1,963.0000
1993-07-01,R10,PADD 1,1141.0000
1993-08-01,R10,PADD 1,1106.0000
1993-09-01,R10,PADD 1,1092.0000
1993-10-01,R10,PADD 1,1048.0000
1993-11-01,R10,PADD 1,775.0000
1993-12-01,R10,PADD 1,959.0000
