PERIOD_DATE,FIELD_PRODUCTION_MBBL,REFINERY_NET_INPUT_MBBL,PRODUCT_SUPPLIED_MBBL,ENDING_STOCKS_MBBL,STOCK_CHANGE_MBBL,SUPPLY_ADJUSTMENT_MBBL,TRANSFERS_TO_CRUDE_SUPPLY_MBBL
1920-01-01,34008.0000,,,132124.0000,,,
1920-02-01,33193.0000,,,131099.0000,,,
1920-03-01,36171.0000,,,130099.0000,,,
1920-04-01,34945.0000,,,129108.0000,,,
1920-05-01,36622.0000,,,128618.0000,,,
1920-06-01,36663.0000,,,128526.0000,,,
1920-07-01,37746.0000,,,131229.0000,,,
1920-08-01,38906.0000,,,132112.0000,,,
1920-09-01,37521.0000,,,134272.0000,,,
1920-10-01,39584.0000,,,134360.0000,,,
1920-11-01,38609.0000,,,136285.0000,,,
1920-12-01,38961.0000,,,136213.0000,,,
1921-01-01,38138.0000,,,125589.0000,,,
1921-02-01,35524.0000,,,132222.0000,,,
1921-03-01,41105.0000,,,139499.0000,,,
1921-04-01,40233.0000,,,146399.0000,,,
1921-05-01,42189.0000,,,155267.0000,,,
1921-06-01,40548.0000,,,162463.0000,,,
1921-07-01,40461.0000,,,168821.0000,,,
1921-08-01,41109.0000,,,169682.0000,,,
1921-09-01,36763.0000,,,172874.0000,,,
1921-10-01,35832.0000,,,174149.0000,,,
1921-11-01,38108.0000,,,178260.0000,,,
1921-12-01,42173.0000,,,185623.0000,,,
1922-01-01,43696.0000,,,196228.0000,,,
1922-02-01,41314.0000,,,208851.0000,,,
1922-03-01,47188.0000,,,221588.0000,,,
1922-04-01,45167.0000,,,235962.0000,,,
1922-05-01,47002.0000,,,247093.0000,,,
1922-06-01,46087.0000,,,255817.0000,,,
1922-07-01,47134.0000,,,261395.0000,,,
1922-08-01,47059.0000,,,262707.0000,,,
1922-09-01,45805.0000,,,263761.0000,,,
1922-10-01,48410.0000,,,265073.0000,,,
1922-11-01,48027.0000,,,265017.0000,,,
1922-12-01,50642.0000,,,264578.0000,,,
1923-01-01,52527.0000,,,258197.0000,,,
1923-02-01,48588.0000,,,260717.0000,,,
1923-03-01,56969.0000,,,264899.0000,,,
1923-04-01,59008.0000,,,270155.0000,,,
1923-05-01,62377.0000,,,279272.0000,,,
1923-06-01,62845.0000,,,290252.0000,,,
1923-07-01,65925.0000,,,299368.0000,,,
1923-08-01,66422.0000,,,307100.0000,,,
1923-09-01,65306.0000,,,314493.0000,,,
1923-10-01,67506.0000,,,323789.0000,,,
1923-11-01,65388.0000,,,332887.0000,,,
1923-12-01,59546.0000,,,334774.0000,,,
1924-01-01,57273.0000,,,375415.0000,,,
1924-02-01,55889.0000,,,378774.0000,,,
1924-03-01,60141.0000,,,352220.0000,,,
1924-04-01,59830.0000,,,387998.0000,,,
1924-05-01,61834.0000,,,393151.0000,,,
1924-06-01,59583.0000,,,397039.0000,,,
1924-07-01,61932.0000,,,401344.0000,,,
1924-08-01,62398.0000,,,407797.0000,,,
1924-09-01,60376.0000,,,411524.0000,,,
1924-10-01,60469.0000,,,409030.0000,,,
1924-11-01,56782.0000,,,406450.0000,,,
1924-12-01,57433.0000,,,399792.0000,,,
1925-01-01,53802.0000,,,419364.0000,,,
1925-02-01,48571.0000,,,420311.0000,,,
1925-03-01,53597.0000,,,420636.0000,,,
1925-04-01,51914.0000,,,423656.0000,,,
1925-05-01,53367.0000,,,430075.0000,,,
1925-06-01,51915.0000,,,431067.0000,,,
1925-07-01,52138.0000,,,431938.0000,,,
1925-08-01,52198.0000,,,431202.0000,,,
1925-09-01,51559.0000,,,433408.0000,,,
1925-10-01,51769.0000,,,433342.0000,,,
1925-11-01,49921.0000,,,433468.0000,,,
1925-12-01,49622.0000,,,431646.0000,,,
1926-01-01,59981.0000,,,422439.0000,,,
1926-02-01,54892.0000,,,420531.0000,,,
1926-03-01,60880.0000,,,420630.0000,,,
1926-04-01,60371.0000,,,410700.0000,,,
1926-05-01,62822.0000,,,409562.0000,,,
1926-06-01,61789.0000,,,403885.0000,,,
1926-07-01,65168.0000,,,400312.0000,,,
1926-08-01,67009.0000,,,397880.0000,,,
1926-09-01,65782.0000,,,395835.0000,,,
1926-10-01,69664.0000,,,395366.0000,,,
1926-11-01,69891.0000,,,394640.0000,,,
1926-12-01,72625.0000,,,403338.0000,,,
1927-01-01,71758.0000,,,405296.0000,,,
1927-02-01,68122.0000,,,410837.0000,,,
1927-03-01,75514.0000,,,415814.0000,,,
1927-04-01,73132.0000,,,423856.0000,,,
1927-05-01,76845.0000,,,431590.0000,,,
1927-06-01,75303.0000,,,440438.0000,,,
1927-07-01,78780.0000,,,448919.0000,,,
1927-08-01,78788.0000,,,456501.0000,,,
1927-09-01,75909.0000,,,462931.0000,,,
1927-10-01,77534.0000,,,466839.0000,,,
1927-11-01,74493.0000,,,472896.0000,,,
1927-12-01,74951.0000,,,473379.0000,,,
1928-01-01,72793.0000,,,481712.0000,,,
1928-02-01,68565.0000,,,486199.0000,,,
1928-03-01,74528.0000,,,490818.0000,,,
1928-04-01,72393.0000,,,492419.0000,,,
1928-05-01,75277.0000,,,492473.0000,,,
1928-06-01,72676.0000,,,491938.0000,,,
1928-07-01,75584.0000,,,490298.0000,,,
1928-08-01,77807.0000,,,488934.0000,,,
1928-09-01,76484.0000,,,486930.0000,,,
1928-10-01,79751.0000,,,488349.0000,,,
1928-11-01,76123.0000,,,488193.0000,,,
1928-12-01,79493.0000,,,491847.0000,,,
1929-01-01,82054.0000,,,497525.0000,,,
1929-02-01,75456.0000,,,505920.0000,,,
